"","parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","slice"
"15","prediction[13]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"16","prediction[14]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"17","prediction[15]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"18","prediction[16]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"19","prediction[17]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"20","prediction[18]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"21","prediction[19]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"22","prediction[20]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"23","prediction[21]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"24","prediction[22]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
"25","prediction[23]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"26","prediction[24]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"27","prediction[25]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"28","prediction[26]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"29","prediction[27]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"30","prediction[28]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"31","prediction[29]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"32","prediction[30]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"33","prediction[31]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"34","prediction[32]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
"35","prediction[33]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"36","prediction[34]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"37","prediction[35]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"38","prediction[36]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"39","prediction[37]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"40","prediction[38]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"41","prediction[39]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"42","prediction[40]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"43","prediction[41]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"44","prediction[42]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
"45","prediction[43]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"46","prediction[44]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"47","prediction[45]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"48","prediction[46]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"49","prediction[47]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"50","prediction[48]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"51","prediction[49]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"52","prediction[50]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"53","prediction[51]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"54","prediction[52]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
"55","prediction[53]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"56","prediction[54]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"57","prediction[55]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"58","prediction[56]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"59","prediction[57]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"60","prediction[58]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"61","prediction[59]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"62","prediction[60]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"63","prediction[61]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"64","prediction[62]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
"65","prediction[63]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"66","prediction[64]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"67","prediction[65]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"68","prediction[66]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"69","prediction[67]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"70","prediction[68]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"71","prediction[69]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"72","prediction[70]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"73","lp__",-207.948039048795,0.0353954905329038,0.990374793347534,-210.648710484782,-208.318327460872,-207.639293532932,-207.256088862004,-207.002127441346,782.89457877817,1.00114502978246,"All data"
"74","r",0.858002871539347,0.00701467667936444,0.39279235888361,0.295956299488514,0.607746385028098,0.780677084612516,1.02634930774659,1.86584367951514,3135.52844388937,1.00229365564747,"ID = 2"
"75","lambda",1.84561190167995,0.0269397924631836,2.00192176304243,0.132475436079297,0.556782480300437,1.16412510751017,2.3679474998446,7.48640487563109,5522.11835078872,1.00181280749997,"ID = 2"
"76","prediction[1]",11.0258470925782,0.0190289092719136,1.27605873120681,7.81853240595511,10.3419325975259,11.4003246011819,12.0117304802984,12.4646805907369,4496.90316829575,1.00165709257033,"ID = 2"
"77","prediction[2]",11.7555567601621,0.01265491399266,0.950485371234822,9.45874277971981,11.2911322837625,11.9602910246102,12.339358906054,13.4011993707155,5641.21274506542,1.00112615539106,"ID = 2"
"78","prediction[3]",12.0823740709552,0.0113862168421576,0.937541735016013,10.0006610487946,11.6194352541504,12.161916184041,12.4901449656005,14.1005555573493,6779.88485975395,1.00087515205753,"ID = 2"
"79","prediction[4]",12.3827439083662,0.0114838097265357,1.00954333458372,10.4133253483502,11.8649848582069,12.3108274636202,12.8057640918487,14.7861693853482,7728.19292595758,1.00080743251903,"ID = 2"
"80","prediction[5]",12.6576491831057,0.012591815854244,1.12983971469287,10.7178988609944,12.0358138780283,12.4197084458448,13.1682660272837,15.4599093308411,8051.13196583359,1.00086568144154,"ID = 2"
"81","prediction[6]",12.908849791372,0.0142351955488847,1.26950908678702,10.9352872315923,12.1562928444672,12.5112634620766,13.5310431601356,16.1038303717979,7953.25217111098,1.00096304925668,"ID = 2"
"82","prediction[7]",13.1384436930981,0.0160815433598238,1.412306722322,11.1126734655563,12.2378574014962,12.6754660425214,13.8774335032176,16.6850155185986,7712.63183186519,1.00105934116881,"ID = 2"
"83","prediction[8]",13.3485872099567,0.0179912475027435,1.55045117530158,11.2363627230039,12.298238089878,12.8440961463631,14.2006124677163,17.2023057983332,7426.66155593159,1.00114344174484,"ID = 2"
"84","prediction[9]",13.5413404422416,0.0198484126256503,1.68065229191489,11.341512802185,12.3407215877628,12.9947729119521,14.505142064246,17.6802663562756,7169.75283695249,1.00121451035436,"ID = 2"
"85","prediction[10]",13.7185941524275,0.0216105742870694,1.80183468475375,11.4243114924101,12.3752217805078,13.1414639928334,14.7817209931841,18.1101260753974,6951.79999926346,1.00127437918199,"ID = 2"
"86","lp__",-34.7750582921468,0.0201681906252681,1.17101102153387,-37.8480486313041,-35.2656170476641,-34.4426005639423,-33.9313715708411,-33.5680789787781,3371.2277274904,1.00231259410064,"ID = 2"
"87","r",0.0683293276826036,0.00503768611493727,0.231708980448985,-0.325125886436106,-0.0677412361362823,0.0634178983025201,0.187384790216926,0.457234660593152,2115.55111987591,1.0021646016429,"ID = 3"
"88","lambda",0.415048363376753,0.00571891574470724,0.347907796740787,0.0606468345770855,0.17991596925413,0.314489248484395,0.536846242218785,1.35129669606706,3700.84525908371,1.00253103533927,"ID = 3"
"89","prediction[1]",13.5552760595781,0.0172897482321009,1.14536912644051,11.3953478257237,12.7679531987691,13.5192952470007,14.3102829401541,15.8872558199899,4388.47477563248,1.0014810635827,"ID = 3"
"90","prediction[2]",16.1366889414939,0.0229448737417367,1.65343090921051,12.7616935492491,15.0157650417575,16.1450753021286,17.2653302885725,19.3498289840879,5192.78999799103,1.00051360671825,"ID = 3"
"91","prediction[3]",17.1943050916211,0.0262824586284132,1.84827807995653,13.1636858917332,15.9954633712407,17.277831807662,18.4933779675715,20.5519946932277,4945.41392039661,1.00051296062702,"ID = 3"
"92","prediction[4]",18.0918720072916,0.0291651517572201,1.97696054029011,13.5201744126427,16.8770526096211,18.261456994214,19.5115311301315,21.4369322665677,4594.80961098817,1.00056772536554,"ID = 3"
"93","prediction[5]",18.8466452300861,0.0315024631872971,2.05240490104359,13.88696843289,17.6654855073243,19.1030543456757,20.3347326728475,22.0837018246337,4244.60284324595,1.00063894066837,"ID = 3"
"94","prediction[6]",19.4801899605427,0.0333374500797625,2.08990001563996,14.2081496072648,18.3583493525219,19.814532062259,20.9927458657668,22.5646809670822,3929.94309314019,1.00071449701547,"ID = 3"
"95","prediction[7]",20.0134212413992,0.0347591295046115,2.10203721116783,14.4942721602428,18.9691168906912,20.4076477205676,21.5220431069546,22.9286721213875,3657.15204576078,1.00078984205791,"ID = 3"
"96","prediction[8]",20.4646205351314,0.0358526806808437,2.09796634945127,14.7913982065028,19.5037989878103,20.9085814586873,21.9456328745137,23.2183780343304,3424.15779306966,1.00086284117678,"ID = 3"
"97","prediction[9]",20.8489801232544,0.036691665972782,2.08395551858579,15.0653714527503,19.9726087522365,21.327076553751,22.2938310673715,23.4474185616244,3225.8340910332,1.0009323385252,"ID = 3"
"98","prediction[10]",21.1788090521454,0.0373338848973521,2.06416129983752,15.3262278495772,20.3845808010045,21.6821170156676,22.5808861327923,23.6337796976383,3056.89762397389,1.00099770048692,"ID = 3"
"99","lp__",-31.1015239438039,0.0242249113157725,1.22128847513977,-34.6422143713362,-31.486699134682,-30.7154888047476,-30.2825262929384,-29.9979932259339,2541.62881778467,1.00269074230189,"ID = 3"
"100","r",0.206835639090544,0.00906137734799366,0.351986310692551,-0.241859807562278,0.0142280926943834,0.151229141030577,0.296676666188631,1.29140650457101,1508.90922646578,1.00588680763847,"ID = 7"
"101","lambda",0.442909903922172,0.00555684435224655,0.378335320196139,0.0666953794795847,0.192408197007329,0.335845577848491,0.577698634648261,1.39919449897075,4635.50773885801,1.00249228500776,"ID = 7"
"102","prediction[1]",12.9607905417329,0.0143608338065026,0.98767499345913,11.1593919486831,12.2675947778822,12.8920125138045,13.6163446897705,15.0018600304464,4730.08346106445,1.00183553435867,"ID = 7"
"103","prediction[2]",14.9433399814587,0.0276224064012837,1.63548397941421,12.1046537583024,13.7801892581865,14.9666038985267,16.0773626662176,18.1500952273932,3505.65817576073,1.00238378382877,"ID = 7"
"104","prediction[3]",15.7998198240521,0.034319078743484,1.94274086272626,12.2077514874968,14.4800131354233,15.8977404961997,17.1785482866636,19.3913854478213,3204.48695269547,1.00253169392316,"ID = 7"
"105","prediction[4]",16.5563084102775,0.0403762098139983,2.19580256210053,12.2641148579957,15.1285262570698,16.7581740502607,18.1531832047018,20.3790260869447,2957.57303438334,1.00268185857889,"ID = 7"
"106","prediction[5]",17.2177993432843,0.0456472163456645,2.3965679992369,12.2963452574647,15.7283955149074,17.5320947507127,18.9901433552106,21.142076804563,2756.45505058633,1.00283906363001,"ID = 7"
"107","prediction[6]",17.7937222305014,0.0501522523643617,2.55325483710552,12.3266115771453,16.2771959759508,18.2205259799528,19.6988035535701,21.728715002712,2591.83554935364,1.00300017928103,"ID = 7"
"108","prediction[7]",18.2949091393896,0.0539956227392105,2.67485567472026,12.345301889192,16.7927442734117,18.8282236393476,20.2943041086819,22.1854771369359,2454.05108775568,1.00316100305474,"ID = 7"
"109","prediction[8]",18.7319382650205,0.0572702796121025,2.76924751025076,12.360624822162,17.2646498070258,19.3635934510478,20.7985862873429,22.5488494020163,2338.11000814557,1.0033180245065,"ID = 7"
"110","prediction[9]",19.1143765547698,0.0600584371940323,2.84276629769453,12.3719966185935,17.699162324274,19.834131467862,21.2260637350786,22.846111224111,2240.44487083437,1.00346876211424,"ID = 7"
"111","prediction[10]",19.4505290070804,0.0624375377497381,2.90031375722195,12.3808594887633,18.1042223603585,20.2457421507689,21.5865943405236,23.0902230349323,2157.73660347306,1.00361167503198,"ID = 7"
"112","lp__",-32.8628770807652,0.0341898949963033,1.4530111399271,-36.7545992424905,-33.3234836307058,-32.3510333859191,-31.8413588235592,-31.5232025246183,1806.10233423055,1.00357449850257,"ID = 7"
