"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"15","Bblaster_sigma_y[1]",-0.522008431587105,0.0131412614252999,0.807017772600023,-2.11651402542749,-1.06766470662822,-0.509125184702388,0.0315137627332579,1.04945295906256,3771.3087452869,0.999663296026209
"16","Bblaster_sigma_y[2]",-1.19274840149555,0.00974690585076755,0.455968157786144,-2.08773821553902,-1.50887684590156,-1.19651587049387,-0.885405592399201,-0.2961128485411,2188.44425234738,1.00048890697742
"17","Bblaster_sigma_y[3]",-1.26644766980734,0.0098136808670825,0.455816840607323,-2.13734119923624,-1.57629195590522,-1.27400772631212,-0.957983308018608,-0.370966628792003,2157.33143248746,1.00132082362647
"18","Bblaster_sigma_y[4]",-1.02696239179237,0.0101647200470321,0.486791477126011,-1.96718397901887,-1.36559654360332,-1.03859801328132,-0.705879375716711,-0.0526345861807256,2293.4806895212,1.00063358638389
"19","Bblaster_sigma_y[5]",-0.924467763884888,0.00975872630096968,0.451955934932482,-1.78687588394369,-1.23526089092629,-0.93229027542985,-0.621127898534681,-0.0307708072786837,2144.8943843117,1.00091245351075
"20","Bperson_sigma_y[1]",-1.02381257772859,0.00977415933411438,0.495460076493657,-1.98620045280659,-1.3605325275725,-1.02869707275267,-0.682483992498162,-0.0324142993215118,2569.55845472245,1.00031959298882
"21","Bperson_sigma_y[2]",-1.15171617798133,0.00927581479055254,0.46737918623568,-2.10140935086983,-1.45409265941057,-1.15138074901824,-0.840310241475584,-0.252537059697691,2538.8357149605,1.00087396704492
"22","Bperson_sigma_y[3]",-0.762124352070998,0.00921203959377912,0.466927337119853,-1.69958914981156,-1.06452609741979,-0.752134355456382,-0.460300413458676,0.143542324768025,2569.13550270744,1.00074415239286
"23","pr_blaster[1]",0.823090589468237,0.00268140055053509,0.133995193452696,0.573637463243506,0.714476532476552,0.831748703220841,0.95259597936382,0.999977698311789,2497.2099211765,1.00146611370923
"24","pr_blaster[2]",0.840713094068429,0.00138495290704903,0.0755650873340883,0.691512228590131,0.786682710027623,0.842598993981201,0.897469017896697,0.974011028277949,2976.95565095425,1.00008947588848
"25","pr_blaster[3]",0.791116101294361,0.00142010164683999,0.0784069865590065,0.650037735528411,0.73124046929562,0.78772566567805,0.845794781397973,0.946541489023248,3048.39094888716,0.999605040204457
"26","pr_blaster[4]",0.783946060542881,0.00154633949408259,0.0880233863999836,0.628333039392147,0.717876970133831,0.779551396681545,0.846864479563579,0.959342788364328,3240.30916342234,1.00090119892017
"27","pr_blaster[5]",0.83097251739192,0.00137784130372816,0.0750326573192157,0.683914203048603,0.77637751936694,0.831742180059263,0.887171208694539,0.969108088498687,2965.52955011383,0.999673284653697
"28","pr_dart[1]",0.882643007705617,0.000941366529714057,0.0485484658299813,0.777725100083307,0.849710784712807,0.88618802996163,0.918915205484192,0.966999752695676,2659.70527735718,1.00168675336795
"29","pr_dart[2]",0.747817244052971,0.00106966615116355,0.0584685641380936,0.648641601699103,0.704810354900135,0.741470566352603,0.786281631076619,0.871304526906628,2987.77817903948,1.00110138745138
"30","pr_dart[3]",0.812028190529719,0.00260944531150597,0.138873382573686,0.563484311303498,0.694943716358028,0.816364665760802,0.944927116063246,0.999990715363508,2832.31549914519,1.00008204578662
"31","pr_person[1]",0.73236718732862,0.00127335496858571,0.0697866651092691,0.616554750859374,0.68124290739984,0.726778804759867,0.77495699243606,0.883100206651838,3003.62642147847,1.00049517683599
"32","pr_person[2]",0.911793929254195,0.00115497574892884,0.0573434755064776,0.77492092233123,0.878850439758377,0.923761973904438,0.956129999241761,0.988862744086336,2465.03046993575,1.00098311275847
"33","pr_person[3]",0.802108046611049,0.00128981143264402,0.0668248457008256,0.668867675588138,0.755686993532642,0.80603306019906,0.852272797046794,0.920781678076982,2684.25323408091,1.00078597148164
"34","lp__",-640.347595146033,0.0834865175316708,3.24271114404388,-647.647274296373,-642.315451839894,-640.041310665087,-638.017109632452,-634.853610464571,1508.63381081236,1.00006187037814
