"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"504","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,6
"505","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,7
"506","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,7
"507","CEchoices[3]",-0.411508756864391,0.0112626346357007,1.20081770213824,-1,-1,-1,-0.69078201493841,3.23811327467379,11367.7410416778,0.99997876627968,0.08,7
"508","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,7
"509","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,8
"510","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,8
"511","CEchoices[3]",-0.369392051487865,0.0118902029720829,1.25750279580037,-1,-1,-1,-0.115868493882363,3.62886207857814,11185.0873983664,0.999956912187116,0.08,8
"512","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,8
"513","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,9
"514","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,9
"515","CEchoices[3]",-0.359642897413554,0.0124412531123432,1.32094430694397,-1,-1,-1,-1,3.96931218600813,11273.0326150927,1.00001498263522,0.08,9
"516","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,9
"517","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,10
"518","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,10
"519","CEchoices[3]",-0.321100121810628,0.0130691478274698,1.354561609641,-1,-1,-1,-0.569792745986583,4.26869353428133,10742.4411949052,0.999972323479618,0.08,10
"520","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,10
"521","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,11
"522","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,11
